iter	Passed	Remaining
0	198	198513
1	224	111829
2	244	81146
3	258	64353
4	270	53893
5	283	46898
6	292	41550
7	305	37933
8	319	35157
9	331	32800
10	340	30598
11	354	29154
12	368	27996
13	382	26973
14	396	26010
15	411	25304
16	424	24560
17	436	23812
18	449	23210
19	461	22611
20	470	21952
21	487	21691
22	502	21361
23	517	21039
24	530	20692
25	545	20452
26	563	20305
27	578	20092
28	592	19830
29	601	19463
30	616	19262
31	631	19098
32	645	18922
33	661	18800
34	675	18628
35	686	18385
36	697	18155
37	711	18015
38	722	17791
39	735	17650
40	744	17413
41	758	17310
42	772	17191
43	787	17105
44	802	17024
45	819	16993
46	832	16874
47	845	16766
48	855	16609
49	869	16513
50	885	16478
51	900	16414
52	913	16323
53	927	16255
54	941	16173
55	962	16219
56	980	16222
57	997	16197
58	1017	16234
59	1035	16228
60	1056	16262
61	1079	16331
62	1097	16318
63	1116	16330
64	1135	16327
65	1155	16353
66	1171	16317
67	1196	16405
68	1214	16380
69	1231	16356
70	1244	16287
71	1258	16220
72	1269	16123
73	1283	16062
74	1298	16011
75	1314	15980
76	1328	15925
77	1339	15834
78	1350	15739
79	1363	15681
80	1378	15638
81	1392	15584
82	1401	15479
83	1415	15430
84	1427	15371
85	1439	15302
86	1449	15208
87	1461	15141
88	1473	15077
89	1482	14986
90	1494	14928
91	1506	14864
92	1515	14776
93	1528	14733
94	1541	14685
95	1555	14649
96	1564	14568
97	1576	14508
98	1589	14464
99	1597	14380
100	1610	14336
101	1625	14308
102	1636	14249
103	1645	14172
104	1658	14134
105	1670	14087
106	1678	14011
107	1690	13965
108	1701	13912
109	1711	13849
110	1723	13807
111	1737	13774
112	1747	13717
113	1757	13659
114	1771	13632
115	1782	13587
116	1791	13522
117	1803	13481
118	1814	13433
119	1824	13379
120	1837	13348
121	1850	13320
122	1859	13259
123	1871	13222
124	1883	13184
125	1891	13123
126	1902	13078
127	1917	13061
128	1929	13030
129	1941	12990
130	1955	12969
131	1968	12942
132	1982	12921
133	1995	12894
134	2005	12853
135	2019	12826
136	2031	12798
137	2045	12774
138	2055	12729
139	2068	12706
140	2080	12673
141	2088	12621
142	2100	12588
143	2112	12560
144	2121	12509
145	2133	12480
146	2146	12456
147	2158	12424
148	2167	12377
149	2183	12374
150	2195	12346
151	2206	12308
152	2216	12269
153	2227	12236
154	2236	12190
155	2249	12167
156	2261	12143
157	2274	12120
158	2282	12074
159	2293	12042
160	2303	12002
161	2314	11973
162	2327	11949
163	2339	11925
164	2348	11886
165	2360	11859
166	2372	11833
167	2382	11798
168	2394	11775
169	2407	11754
